I Want To Hold Your Hand - Remastered 2015,The Beatles,02:25
All Along the Watchtower,Jimi Hendrix,04:00
Nothing Compares 2 U,Sinéad O'Connor,04:40
How Soon Is Now? - 2011 Remaster,The Smiths,06:48
Sweet Child O' Mine,Guns N' Roses,05:54
For What It's Worth,Buffalo Springfield,02:33
The Weight - Remastered 2000,The Band,04:34
Runaway,Kanye West& Pusha T,09:07
Ghost Town - 2015 Remaster,The Specials,06:00
Royals,Lorde,03:10
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edi,Daft Punk& Pharrell Williams& Nile Rodgers,04:08
Suspicious Minds,Elvis Presley,04:21
Life on Mars? - 2015 Remaster,David Bowie,03:55
Reach Out I'll Be There - Single Version / Mono,Four Tops,02:59
That's All Right,Elvis Presley,01:55
Get Up I Feel Like Being Like A Sex Machine& Pts. 1 & 2,James Brown& The Original J.B.s,05:18
Wonderwall - Remastered,Oasis,04:18
Heroin,The Velvet Underground& Nico,07:13
Whole Lot Of Shakin' Going On - Single Version,Jerry Lee Lewis,02:53
Thunder Road,Bruce Springsteen,04:48
One,U2,04:36
I'm Waiting For The Man,The Velvet Underground& Nico,04:39
The Tracks Of My Tears,Smokey Robinson & The Miracles,02:54
Yesterday - Remastered 2009,The Beatles,02:05
Dancing Queen,ABBA,03:50
Summertime Blues,Eddie Cochran,01:59
This Charming Man - 2011 Remaster,The Smiths,02:42
Blue Suede Shoes,Carl Perkins,02:14
Good Times,CHIC,08:15
Pyramids,Frank Ocean,09:52
My Girl,The Temptations,02:45
Paint It& Black,The Rolling Stones,03:22
Video Games,Lana Del Rey,04:41
Rehab,Amy Winehouse,03:34
Rapper's Delight - Long Version,The Sugarhill Gang,14:33
The Sound of Silence - Electric Version,Simon & Garfunkel,03:05
Fortunate Son,Creedence Clearwater Revival,02:20
Papa's Got A Brand New Bag - Pt. 1,James Brown,02:06
Bridge Over Troubled Water,Simon & Garfunkel,04:53
No Woman& No Cry - Live At The Lyceum& London/1975,Bob Marley & The Wailers,07:07
Proud Mary,Creedence Clearwater Revival,03:07
Every Breath You Take,The Police,04:13
Maybellene,Chuck Berry,02:23
A Whiter Shade of Pale - Original Single Version,Procol Harum,04:08
Midnight City,M83,04:03
Losing My Edge,LCD Soundsystem,07:53
I'm So Lonesome I Could Cry,Hank Williams,02:48
Eight Miles High,The Byrds,03:34
Born Slippy (Nuxx,Underworld,07:36
Great Balls Of Fire,Jerry Lee Lewis,01:51
Green Onions,Booker T. & the M.G.'s,02:47
Maps,Yeah Yeah Yeahs,03:39
Umbrella,Rihanna& JAY-Z,04:35
She Loves You - Mono / Remastered,The Beatles,02:20
Stayin Alive,Bee Gees,04:45
Tangled up in Blue,Bob Dylan,05:41
Maggie May,Rod Stewart,05:50
Will You Love Me Tomorrow,The Shirelles,02:40
Seasons (Waiting on You,Future Islands,03:46
Creep,Radiohead,03:58
Be-Bop-A-Lula,Gene Vincent & His Blue Caps,02:37
Paranoid,Black Sabbath,02:48
Heart Of Glass [24-Bit Digitally Remastered 01],Blondie,05:50
Kashmir - Remaster,Led Zeppelin,08:37
Walk This Way (feat. Aerosmith,Run?�D.M.C.& Aerosmith,05:10
Like a Prayer,Madonna,05:40
Marquee Moon - 2003 Remaster,Television,10:45
Hotline Bling,Drake,04:27
Live Forever,Oasis,04:36
Time to Pretend,MGMT,04:21
When a Man Loves a Woman,Percy Sledge,02:53
Brown Sugar - 2009 Remaster,The Rolling Stones,03:48
Over The Rainbow,Judy Garland,02:47
Tomorrow Never Knows - Remastered 2009,The Beatles,02:59
This Land is Your Land,Woody Guthrie,02:19
Oh& Pretty Woman,Roy Orbison,02:58
Jailhouse Rock,Elvis Presley,02:26
Empire State Of Mind,JAY-Z& Alicia Keys,04:36
I Bet You Look Good On The Dancefloor,Arctic Monkeys,02:53
Like a Virgin,Madonna,03:38
Into the Groove,Madonna,04:45
Let It Happen,Tame Impala,07:47
Cranes in the Sky,Solange,04:10
Song 2 - 2012 Remaster,Blur,02:01
Purple Rain,Prince,08:40
Wuthering Heights,Kate Bush,04:29
Born in the U.S.A.,Bruce Springsteen,04:38
Kids,MGMT,05:02
Nuthin But A G'Thang,Snoop Dogg,03:55
Peggy Sue,Buddy Holly& The Crickets,02:30
White Rabbit,Jefferson Airplane,02:30
Kiss,Prince,03:46
Sunday Bloody Sunday - Remastered 2008,U2,04:39
Psycho Killer - 2005 Remaster,Talking Heads,04:21
Tainted Love,Soft Cell,02:33
Little Red Corvette,Prince,04:56
Family Affair - Single Version,Sly & The Family Stone,03:05
Can't Get You out of My Head,Kylie Minogue,03:50
Honky Tonk Women,The Rolling Stones,03:02
Your Best American Girl,Mitski,03:32
Autobahn - 2009 Remaster,Kraftwerk,22:47
My Girls,Animal Collective,05:40
Eleanor Rigby - Remastered 2009,The Beatles,02:06
Get It On,T. Rex,04:22
There She Goes,The La's,02:42
Help! - Remastered 2009,The Beatles,02:19
House Of Jealous Lovers,The Rapture,05:04
Last Nite,The Strokes,03:13
Le Freak - 2018 Remaster,CHIC,05:31
Won't Get Fooled Again - Original Album Version,The Who,08:31
In My Life - Remastered 2009,The Beatles,02:26
Hurt,Johnny Cash,03:36
Ms. Jackson,Outkast,04:30
Walk on By,Dionne Warwick,02:58
Folsom Prison Blues,Johnny Cash& The Tennessee Two,02:48
Sign 'O' the Times - Single Version,Prince,03:43
bad guy,Billie Eilish,03:14
Teenage Kicks,The Undertones,02:28
This Is America,Childish Gambino,03:45
Blowin' in the Wind,Bob Dylan,02:45
I Walk The Line - Single Version,Johnny Cash& The Tennessee Two,02:43
Brown Eyed Girl,Van Morrison,03:03
Blueberry Hill,Fats Domino,02:27
Planet Rock,Afrika Bambaataa& The Soulsonic Force,05:19
Crazy - Single Version,Patsy Cline& The Jordanaires,02:44
Bo Diddley,Bo Diddley,02:29
Subterranean Homesick Blues,Bob Dylan,02:21
Mr. Brightside,The Killers,03:42
People Get Ready,The Impressions,02:43
Virginia Plain,Roxy Music,02:58
Runaway,Del Shannon,02:18
Baba O'Riley,The Who,05:00
Go Your Own Way - 2004 Remaster,Fleetwood Mac,03:43
Two Weeks,FKA twigs,04:07
(White Man) in Hammersmith Palai,The Clash,04:00
(Don't Fear) The Reape,Blue ?yster Cult,05:08
Penny Lane - Remastered 2009,The Beatles,03:00
Smoke On The Water - Remastered 2012,Deep Purple,05:40
Toxic,Britney Spears,03:18
Roadrunner,The Modern Lovers,04:06
Don't You Want Me,The Human League,03:56
Bad Girls,M.I.A.,03:47
Changes - 2015 Remaster,David Bowie,03:37
Don't Stop 'Til You Get Enough,Michael Jackson,06:05
Let It Be - Remastered 2009,The Beatles,04:03
Don't Be Cruel,Elvis Presley,02:01
Papa Was A Rollin' Stone - Single Version,The Temptations,06:59
Rolling in the Deep,Adele,03:48
Living For The City,Stevie Wonder,07:22
Gloria (feat. Van Morrison) - Mono Versio,Them& Van Morrison,02:39
Try a Little Tenderness,Otis Redding,03:21
I Wanna Be Your Dog,The Stooges,03:08
1979 - Remastered 2012,The Smashing Pumpkins,04:26
The Girl From Ipanema - Single Version,Stan Getz& João Gilberto& Astrud Gilberto& Antônio Carlos Jobim,02:47
You Send Me - Mono,Sam Cooke,02:45
